id,title,grade,gradeVer,gender,ageRange/0,ageRange/1,text,servFreq,riskName,general,tool/0,tool/1,tool/2,riskText,rationale,tool/3,tool/4
162,Asymptomatic Bacteriuria: Screening -- Pregnant Women,A,1,female,11,49,"The USPSTF recommends screening for asymptomatic bacteriuria with urine culture for pregnant women at 12 to 16 weeks' gestation or at the first prenatal visit, if later.","All pregnant women should provide a clean-catch urine specimen for a screening culture at 12 to 16 weeks' gestation or at the first prenatal visit, if later. The optimal frequency of subsequent urine testing during pregnancy is uncertain.

",Pregnant,90,105,None,0,None,None,None,None
207,Cervical Cancer: Screening -- Women 21 to 65 (Pap Smear) or 30-65 (in combo with HPV testing),A,1,female,21,65,"This recommendation statement applies to women who have a cervix, regardless of sexual history. This recommendation statement does not apply to women who have received a diagnosis of a high-grade precancerous cervical lesion or cervical cancer, women with in utero exposure to diethylstilbestrol, or women who are immunocompromised (such as those who are HIV positive).The USPSTF recommends screening for cervical cancer in women age 21 to 65 years with cytology (Pap smear) every 3 years or, for women age 30 to 65 years who want to lengthen the screening interval, screening with a combination of cytology and human papillomavirus (HPV) testing every 5 years.","Screening women age 21 to 65 years every 3 years with cytology provides a reasonable balance between benefits and harms. Among women age 30 to 65 years, HPV testing combined with cytology (co-testing) every 5 years offers a comparable balance of benefits and harms and is therefore a reasonable alternative for women in this age group who would prefer to extend the screening interval.Screening with cytology more often than every 3 years confers little additional benefit, with large increases in harms, including additional procedures and assessment and treatment of transient lesions.",Age,113,51,153,150,None,None,None,None
309,Colorectal Cancer: Screening --Adults aged 50 to 75 years,A,1,men and women,50,75,The USPSTF recommends screening for colorectal cancer starting at age 50 years and continuing until age 75 years.The risks and benefits of different screening methods vary. See the&nbsp,Clinical Considerations section&nbsp,Age,166,309,None,0,"For the vast majority of adults, the most important risk factor for colorectal cancer is older age. Most cases of colorectal cancer occur among adults older than 50 years; the median age at diagnosis is 68 years.3A positive family history (excluding known inherited familial syndromes) is thought to be linked to about 20% of cases of colorectal cancer.1&nbsp;About 3% to 10% of the population has a first-degree relative with colorectal cancer.7&nbsp;The USPSTF did not specifically review the evidence on screening in populations at increased risk; however, other professional organizations recommend that patients with a family history of colorectal cancer (a first-degree relative with early-onset colorectal cancer or multiple first-degree relatives with the disease) be screened more frequently starting at a younger age, and with colonoscopy.8Male sex and black race are also associated with higher colorectal cancer incidence and mortality. Black adults have the highest incidence and mortality rates compared with other racial/ethnic subgroups.3&nbsp;The reasons for these disparities are not entirely clear. Studies have documented inequalities in screening, diagnostic follow-up, and treatment; they also suggest that equal treatment generally seems to produce equal outcomes.9-11&nbsp;Accordingly, this recommendation applies to all racial/ethnic groups, with the clear acknowledgement that efforts are needed to ensure that at-risk populations receive recommended screening, follow-up, and treatment.",,,
323,Folic Acid for the Prevention of Neural Tube Defects: Preventive Medication --Women who are planning or capable of pregnancy,A,1,female,11,49,The USPSTF recommends that all women who are planning or capable of pregnancy take a daily supplement containing 0.4 to 0.8 mg (400 to 800 &micro,g) of folic acid.,Other,176,287,None,0,"Women who have a personal or family history of a pregnancy affected by a neural tube defect are at increased risk of having an affected pregnancy. However, most cases occur in the absence of any personal or family history",None,None,None
234,HIV: Screening - Adolescents and Adults,A,1,men and women,15,65,The USPSTF recommends that clinicians screen for HIV infection in adolescents and adults aged 15 to 65 years. Younger adolescents and older adults who are at increased risk should also be screened.,"The evidence is insufficient to determine optimum time intervals for HIV screening. One reasonable approach would be one-time screening of adolescent and adult patients to identify persons who are already HIV-positive, with repeated screening of those who are known to be at risk for HIV infection, those who are actively engaged in risky behaviors, and those who live or receive medical care in a high-prevalence setting. According to the CDC, a high-prevalence setting is a geographic location or community with an HIV seroprevalence of at least 1%. These settings include sexually transmitted disease (STD) clinics, correctional facilities, homeless shelters, tuberculosis clinics, clinics serving men who have sex with men, and adolescent health clinics with a high prevalence of STDs. Patient populations that would more likely benefit from more frequent testing include those who are known to be at higher risk for HIV infection, those who are actively engaged in risky behaviors, and those who live in a high-prevalence setting. Given the paucity of available evidence for specific screening intervals, a reasonable approach may be to rescreen groups at very high risk (see Assessment of Risk) for new HIV infection at least annually and individuals at increased risk at somewhat longer intervals (for example, 3 to 5 years). Routine rescreening may not be necessary for individuals who have not been at increased risk since they were found to be HIV-negative. Women screened during a previous pregnancy should be rescreened in subsequent pregnancies.",None,126,185,184,0,None,"Importance
An estimated 1.2 million persons in the United States are currently living with HIV infection, and the annual incidence of the disease is approximately 50,000 cases. Since the first cases of AIDS were reported in 1981, more than 1.1 million persons have been diagnosed and nearly 595,000 have died from the condition. Approximately 20% to 25% of individuals living with HIV infection are unaware of their positive status.
Detection
The USPSTF found convincing evidence that conventional and rapid HIV antibody tests are highly accurate in diagnosing HIV infection.
Benefits of Detection and Early Intervention
The USPSTF found convincing evidence that identification and treatment of HIV infection is associated with a markedly reduced risk for progression to AIDS, AIDS-related events, and death in individuals with immunologically advanced disease (defined as a CD4 count &lt;0.200 &times; 109 cells/L). Adequate evidence shows that initiating combined antiretroviral therapy (ART) earlier (that is, at CD4 counts between 0.200 and 0.500 &times; 109cells/L)&mdash;when individuals are more likely to be asymptomatic and detected by screening rather than clinical presentation&mdash;is also associated with reduced risk for AIDS-related events or death. The USPSTF found convincing evidence that the use of ART is associated with a substantially decreased risk for transmission from HIV-positive persons to uninfected heterosexual partners. Convincing evidence also shows that identification and treatment of HIV-positive pregnant women dramatically reduces rates of mother-to-child transmission. The overall benefits of screening for HIV infection in adolescents, adults, and pregnant women are substantial.
Harms of Detection and Early Intervention
The USPSTF found convincing evidence that individual antiretroviral drugs, drug classes, and combinations are all associated with short-term adverse events; however, many of these events are transient or self-limited, and effective alternatives can often be found. Although the long-term use of certain antiretroviral drugs may be associated with increased risk for cardiovascular and other adverse events, the magnitude of risk seems to be small. The overall harms of screening for and treatment of HIV infection in adolescents, adults, and pregnant women are small.
USPSTF Assessment
The USPSTF concludes with high certainty that the net benefit of screening for HIV infection in adolescents, adults, and pregnant women is substantial.",None,None
235,HIV: Screening - Pregnant Women,A,1,female,11,64,"The USPSTF recommends that clinicians screen all pregnant women for HIV, including those who present in labor who are untested and whose HIV status is unknown.","The evidence is insufficient to determine optimum time intervals for HIV screening. One reasonable approach would be one-time screening of adolescent and adult patients to identify persons who are already HIV-positive, with repeated screening of those who are known to be at risk for HIV infection, those who are actively engaged in risky behaviors, and those who live or receive medical care in a high-prevalence setting. According to the CDC, a high-prevalence setting is a geographic location or community with an HIV seroprevalence of at least 1%. These settings include sexually transmitted disease (STD) clinics, correctional facilities, homeless shelters, tuberculosis clinics, clinics serving men who have sex with men, and adolescent health clinics with a high prevalence of STDs. Patient populations that would more likely benefit from more frequent testing include those who are known to be at higher risk for HIV infection, those who are actively engaged in risky behaviors, and those who live in a high-prevalence setting. Given the paucity of available evidence for specific screening intervals, a reasonable approach may be to rescreen groups at very high risk (see Assessment of Risk) for new HIV infection at least annually and individuals at increased risk at somewhat longer intervals (for example, 3 to 5 years). Routine rescreening may not be necessary for individuals who have not been at increased risk since they were found to be HIV-negative. Women screened during a previous pregnancy should be rescreened in subsequent pregnancies.",Pregnant,126,185,184,0,None,"Importance
An estimated 1.2 million persons in the United States are currently living with HIV infection, and the annual incidence of the disease is approximately 50,000 cases. Since the first cases of AIDS were reported in 1981, more than 1.1 million persons have been diagnosed and nearly 595,000 have died from the condition. Approximately 20% to 25% of individuals living with HIV infection are unaware of their positive status.
Detection
The USPSTF found convincing evidence that conventional and rapid HIV antibody tests are highly accurate in diagnosing HIV infection.
Benefits of Detection and Early Intervention
The USPSTF found convincing evidence that identification and treatment of HIV infection is associated with a markedly reduced risk for progression to AIDS, AIDS-related events, and death in individuals with immunologically advanced disease (defined as a CD4 count &lt;0.200 &times; 109 cells/L). Adequate evidence shows that initiating combined antiretroviral therapy (ART) earlier (that is, at CD4 counts between 0.200 and 0.500 &times; 109cells/L)&mdash;when individuals are more likely to be asymptomatic and detected by screening rather than clinical presentation&mdash;is also associated with reduced risk for AIDS-related events or death. The USPSTF found convincing evidence that the use of ART is associated with a substantially decreased risk for transmission from HIV-positive persons to uninfected heterosexual partners. Convincing evidence also shows that identification and treatment of HIV-positive pregnant women dramatically reduces rates of mother-to-child transmission. The overall benefits of screening for HIV infection in adolescents, adults, and pregnant women are substantial.
Harms of Detection and Early Intervention
The USPSTF found convincing evidence that individual antiretroviral drugs, drug classes, and combinations are all associated with short-term adverse events; however, many of these events are transient or self-limited, and effective alternatives can often be found. Although the long-term use of certain antiretroviral drugs may be associated with increased risk for cardiovascular and other adverse events, the magnitude of risk seems to be small. The overall harms of screening for and treatment of HIV infection in adolescents, adults, and pregnant women are small.
USPSTF Assessment
The USPSTF concludes with high certainty that the net benefit of screening for HIV infection in adolescents, adults, and pregnant women is substantial.",None,None
187,Hepatitis B Virus: Screening -- Pregnant Women,A,1,female,11,49,"The USPSTF recommends screening for hepatitis B virus (HBV) infection in pregnant women at their first prenatal visit
",Screen pregnant women at thier first prenatal visit. ,Pregnant,103,121,None,0,None,None,None,None
281,High Blood Pressure: Screening and Home Monitoring -- Adults,A,1,men and women,18,100,The USPSTF recommends screening for high blood pressure in adults aged 18 years or older. The USPSTF recommends obtaining measurements outside of the clinical setting for diagnostic confirmation before starting treatment.,The USPSTF recommends annual screening for adults aged 40 years or older and for those who are at increased risk for high blood pressure.,Age,152,245,None,0,"The USPSTF recommends annual screening for adults aged 40 years or older and for those who are at increased risk for high blood pressure. Persons at increased risk include those who have high-normal blood pressure (130 to 139/85 to 89 mm Hg), those who are overweight or obese, and African Americans. Adults aged 18 to 39 years with normal blood pressure (&lt;130/85 mm Hg) who do not have other risk factors should be rescreened every 3 to 5 years.&nbsp;The USPSTF recommends rescreening with properly measured office blood pressure and, if blood pressure is elevated, confirming the diagnosis of hypertension with ABPM.",None,None,None
205,Ocular Prophylaxis for Gonococcal Ophthalmia Neonatorum: Preventive Medication for All Newborns,A,1,men and women,0,1,"The USPSTF recommends prophylactic ocular topical medication for all newborns for the prevention of gonococcal ophthalmia neonatorum. 
&nbsp;",Prophylaxis should be provided within 24 hours after birth.,Age,111,149,100,0,None,None,None,None
79,"Rh(D) Blood Typing: Screening -- Pregnant Women, First Pregnancy Related Visit",A,0,female,11,49,The USPSTF strongly recommends Rh (D) blood typing and antibody testing for all pregnant women during their first visit for pregnancy-related care. ,First prenatal visit.,Pregnant,38,None,None,0,None,"The USPSTF found good evidence that Rh (D) blood typing, anti-Rh (D) antibody testing, and intervention with Rh (D) immunoglobulin, as appropriate, prevents maternal sensitization and improves outcomes for newborns. The benefits substantially outweigh any potential harms.
",None,None
